,employee_id,company_id,dept,seniority,salary,join_date,quit_date
0,13021.0,7,customer_service,28,89000.0,2014-03-24,2015-10-30
1,825355.0,7,marketing,20,183000.0,2013-04-29,2014-04-04
2,927315.0,4,marketing,14,101000.0,2014-10-13,
3,662910.0,7,customer_service,20,115000.0,2012-05-14,2013-06-07
4,256971.0,2,data_science,23,276000.0,2011-10-17,2014-08-22
5,509529.0,4,data_science,14,165000.0,2012-01-30,2013-08-30
6,88600.0,4,customer_service,21,107000.0,2013-10-21,
7,716309.0,2,customer_service,4,30000.0,2014-03-05,
8,172999.0,9,engineer,7,160000.0,2012-12-10,2015-10-23
9,504159.0,1,sales,7,104000.0,2012-06-12,
10,892155.0,6,customer_service,13,72000.0,2012-11-12,2015-02-27
11,904158.0,2,marketing,17,230000.0,2015-05-11,
12,939058.0,1,marketing,1,48000.0,2012-12-10,2013-11-15
13,163427.0,10,marketing,23,154000.0,2012-06-18,2015-09-25
14,461248.0,2,sales,20,201000.0,2013-09-16,2014-08-22
15,265226.0,1,data_science,4,80000.0,2014-05-27,2015-07-10
16,932790.0,7,marketing,10,88000.0,2011-11-30,2013-11-22
17,69693.0,7,customer_service,6,54000.0,2014-03-31,
18,721600.0,2,marketing,20,193000.0,2014-12-29,
19,982668.0,1,customer_service,14,76000.0,2015-07-27,
20,123896.0,7,engineer,19,231000.0,2015-10-19,
21,219944.0,6,customer_service,15,98000.0,2012-06-25,2013-05-31
22,569302.0,5,data_science,14,144000.0,2011-11-28,2015-07-06
23,189981.0,3,marketing,14,97000.0,2013-08-20,2014-08-15
24,819445.0,2,marketing,6,151000.0,2013-07-29,2014-08-01
25,467023.0,3,customer_service,15,110000.0,2011-05-31,2013-02-08
26,6808.0,4,data_science,26,230000.0,2013-08-26,
27,940786.0,3,data_science,27,223000.0,2011-03-21,2012-03-02
28,888375.0,1,customer_service,5,75000.0,2011-08-01,2013-10-04
29,564835.0,5,customer_service,6,71000.0,2011-02-14,2014-04-11
30,72260.0,1,engineer,18,315000.0,2015-06-08,
31,476097.0,1,customer_service,23,111000.0,2012-07-16,2015-05-15
32,922883.0,7,engineer,16,291000.0,2015-03-31,
33,29950.0,2,design,20,210000.0,2013-05-20,
34,298691.0,1,engineer,21,259000.0,2014-08-26,
35,361378.0,2,marketing,25,207000.0,2013-03-11,2015-01-16
36,958767.0,7,customer_service,19,103000.0,2012-10-08,2013-10-11
37,942845.0,4,sales,14,105000.0,2012-06-25,2013-05-31
38,573299.0,9,customer_service,20,108000.0,2015-04-13,
39,739669.0,2,engineer,9,178000.0,2011-11-28,
40,390806.0,3,customer_service,23,101000.0,2013-03-18,
41,489148.0,2,engineer,5,192000.0,2014-04-21,
42,991265.0,5,data_science,14,154000.0,2011-06-13,2012-07-27
43,13380.0,9,customer_service,20,117000.0,2012-02-21,2014-01-17
44,16871.0,1,customer_service,23,100000.0,2015-03-31,
45,537932.0,1,customer_service,7,89000.0,2014-08-18,2015-08-13
46,282949.0,8,data_science,26,218000.0,2015-03-16,
47,139022.0,2,data_science,20,317000.0,2011-11-28,2014-11-21
48,945037.0,9,engineer,27,192000.0,2015-05-04,
49,695896.0,7,sales,7,100000.0,2012-07-30,2013-07-12
50,280427.0,1,marketing,9,112000.0,2011-06-13,2015-05-15
51,611637.0,3,marketing,2,39000.0,2012-06-25,2014-09-26
52,437897.0,10,customer_service,29,99000.0,2014-07-29,2015-08-28
53,960822.0,9,customer_service,9,70000.0,2012-01-09,2013-03-08
54,789114.0,1,data_science,2,76000.0,2012-05-07,2015-07-24
